CB Constituent ID,CB Constituent Type,CB First Name,CB Last Name,CB Company Name,CB Created At,CB Email 1 (Standardized),CB Email 2 (Standardized),CB Title,CB Tags,CB Background Information,CB Lifetime Donation Amount,CB Most Recent Donation Date,CB Most Recent Donation Amount
1089,Company,,,...,2016-04-16,samantha08@hotmail.com,andrewsrandy@howard.com,Mrs.,"Major Donor, Student Scholar, Summer 2016",Job Title: Business Analyst,"$1,550.00",2018-10-07,$500.00
1102,Person,Michael,Munoz,,2019-06-17,warrendaniel@gmail.com,xwilson@olsen-morgan.org,,"Summer 2016, Board Member, Major Donor",,"$5,350.00",2023-11-30,$100.00
1234,Person,Unknown,Unknown-1234,,,,,,,,"$3,000.00",2021-10-23,"$3,000.00"
1288,Person,Rebecca,Maynard,,2021-06-23,fsteele@hotmail.com,ellendavis@smith.com,Mrs.,"Summer 2016, Major Donor",Job Title: Data Scientist,$700.00,2023-04-01,$100.00
1348,Person,Robert & Emily,Patton,,2016-12-12,thomassamuel@gmaill.com,,,,,"$3,600.00",2023-03-18,$100.00
1459,Person,Katherine,Jones,,2022-08-06,millersherry@gmaill.com,millernicole@stanley-harris.com,,"Summer 2016, Major Donor, Pitch Perfect",Job Title: Software Engineer,"$25,000.00",2021-04-28,"$10,000.00"
1550,Person,Laura,Harrison,,2017-12-07,harrypatterson@yahoo.com,,,"Major Donor, Student Scholar, Board Member",,"$20,100.00",2024-12-28,"$10,000.00"
1825,Company,,,"Villanueva, Bowen and Smith",2016-11-07,javierperez@davis.com,jon30@tate.biz,Mr.,Student Scholar,,"$11,500.00",2021-09-10,"$10,000.00"
1854,Person,Ricky,David,,2020-08-03,mayertammy@collins-vasquez.org,stephaniewu@gmail.com,Dr.,"Summer 2016, Pitch Perfect, Student Scholar",,"$15,050.00",2023-02-02,"$5,000.00"
2014,Person,Amanda,Kelley,,2016-11-10,walkerlindsey@lewis.com,,Mr.,"Pitch Perfect, Student Scholar, Summer 2016, Board Member, VIP",,$650.00,2022-03-01,$500.00
2085,Person,David,Smith,,2015-10-13,smalljessica@hotmail.com,tonyagutierrez@wheeler.com,,"Pitch Perfect, Summer 2016",,$350.00,2019-03-22,$250.00
2136,Person,Regina,Webb,,2020-12-19,brittney12@lee-williamson.org,qkoch@gmal.com,Dr.,,Job Title: Marketing Manager,$200.00,2024-05-15,$100.00
